Datum,Kurs
2023-02-16,258.00
2023-02-17,258.00
2023-02-20,258.00
2023-02-21,258.00
2023-02-22,256.94
2023-02-23,251.24
2023-02-24,249.70
2023-02-27,255.95
2023-02-28,249.10
2023-03-01,252.91
2023-03-02,252.70
2023-03-03,256.58
2023-03-06,252.81
2023-03-07,258.22
2023-03-08,257.22
2023-03-09,255.05
2023-03-10,249.09
2023-03-13,242.42
2023-03-14,245.15
2023-03-15,246.25
2023-03-16,250.48
2023-03-17,253.85
2023-03-20,252.23
2023-03-21,251.55
2023-03-22,252.08
2023-03-23,254.04
2023-03-24,255.00
2023-03-27,255.67
2023-03-28,253.09
2023-03-29,253.57
2023-03-30,254.30
2023-03-31,260.00
2023-04-03,260.00
2023-04-04,260.00
2023-04-05,260.00
2023-04-06,260.00
2023-04-11,259.05
2023-04-12,260.75
2023-04-13,258.88
2023-04-14,258.70
2023-04-17,260.88
2023-04-18,260.14
2023-04-19,261.45
2023-04-20,257.60
2023-04-21,257.70
2023-04-24,257.70
2023-04-25,255.10
2023-05-03,252.45
2023-05-04,251.56
2023-05-05,253.92
2023-05-08,256.00
2023-05-09,256.00
2023-05-10,256.59
2023-05-11,259.50
2023-05-12,259.50
2023-05-15,263.89
2023-05-16,263.89
2023-05-17,263.89
2023-05-18,265.00
2023-05-19,271.85
2023-05-22,271.85
2023-05-23,265.84
2023-05-24,263.79
2023-05-25,271.85
2023-05-26,271.85
2023-05-29,271.85
2023-05-30,271.85
2023-05-31,271.85
2023-06-01,271.85
2023-06-02,274.20
2023-06-05,275.28
2023-06-06,273.75
2023-06-07,279.62
2023-06-08,275.00
2023-06-09,275.88
2023-06-12,276.00
2023-06-13,282.20
2023-06-14,282.20
2023-06-15,282.20
2023-06-16,282.20
2023-06-19,282.20
2023-06-20,280.00
2023-06-21,278.00
2023-06-22,278.00
2023-06-23,278.00
2023-06-26,278.00
2023-06-27,278.00
2023-06-28,278.00
2023-06-29,278.00
2023-06-30,278.00
2023-07-03,283.87
2023-07-04,282.20
2023-07-05,278.00
2023-07-06,278.00
2023-07-07,278.00
2023-07-10,276.00
2023-07-11,277.00
2023-07-12,277.00
2023-07-13,276.00
2023-07-14,276.00
2023-07-17,276.00
2023-07-18,278.00
2023-07-19,278.00
2023-07-20,280.00
2023-07-21,283.45
2023-07-24,282.20
2023-07-25,281.20
2023-07-26,281.20
2023-07-27,280.33
2023-07-28,290.00
2023-07-31,290.00
2023-08-01,290.00
2023-08-02,286.00
2023-08-03,279.14
2023-08-04,279.00
2023-08-07,285.00
2023-08-08,285.00
2023-08-09,279.00
2023-08-10,279.00
2023-08-11,279.00
2023-08-14,279.00
2023-08-15,282.00
2023-08-16,279.00
2023-08-17,279.00
2023-08-18,276.00
2023-08-21,276.00
2023-08-22,280.00
2023-08-23,280.00
2023-08-24,283.37
2023-08-25,283.35
2023-08-28,283.00
2023-08-29,283.00
2023-08-30,283.00
